구,전용면적_m2,층,건축년도,지하철역_거리_m,방개수,욕실개수,브랜드등급,거래금액_만원
강변구,101.48,10,2020,341,4,2,1,187200
구도심구,58.08,10,1998,1001,3,1,1,50700
구도심구,73.25,19,2019,219,3,1,1,69600
구도심구,84.0,10,2024,626,3,1,1,66700
중앙구,58.24,29,1994,716,3,1,2,102700
호수구,58.33,9,2012,150,3,1,3,69200
강변구,85.18,13,1995,1352,3,1,1,121700
중앙구,60.23,24,2019,1114,3,1,1,119800
신도심구,57.02,11,2009,898,3,1,3,74500
신도심구,48.02,2,1993,233,2,1,2,47700
구도심구,73.44,10,2017,369,3,1,2,75700
구도심구,74.72,11,2017,1203,3,1,3,70600
강변구,50.37,18,2022,621,2,1,2,102500
호수구,87.24,21,2008,532,3,1,2,98200
강변구,83.44,16,2022,1447,3,1,1,150700
신도심구,48.5,12,2014,697,2,1,3,64600
강변구,74.71,15,2009,251,3,1,2,110600
호수구,100.18,5,2004,1193,4,2,1,101400
강변구,83.83,6,2002,223,3,1,2,123300
중앙구,73.5,18,2012,625,3,1,1,140900
신도심구,80.85,26,2016,769,3,1,2,108700
호수구,59.15,16,1994,1027,3,1,1,49500
호수구,100.78,2,2006,178,4,2,2,107600
구도심구,115.53,29,1994,60,4,2,1,88900
호수구,114.01,10,2005,63,4,2,2,117200
호수구,57.49,22,2018,1568,3,1,2,69400
신도심구,73.69,27,2015,150,3,1,1,113800
강변구,56.49,29,1996,1835,3,1,1,69200
구도심구,72.55,4,2015,1280,3,1,1,65200
구도심구,74.76,6,1993,292,3,1,2,53600
신도심구,83.7,19,1993,89,3,1,3,108500
중앙구,60.11,23,2022,660,3,1,1,129400
구도심구,111.64,25,1994,417,4,2,2,84100
강변구,58.71,16,2001,1463,3,1,3,98600
호수구,48.43,5,1997,763,2,1,2,47500
강변구,102.15,21,2011,630,4,2,1,156600
중앙구,84.81,20,2009,534,3,1,1,162400
구도심구,74.77,14,2019,1026,3,1,3,70700
강변구,85.85,19,2024,588,3,1,1,142000
강변구,58.56,7,2016,2074,3,1,1,81000
신도심구,60.6,24,2007,145,3,1,2,81600
호수구,82.75,2,1994,491,3,1,1,66300
강변구,72.7,25,2022,927,3,1,2,142100
강변구,84.9,25,2010,844,3,1,3,136200
구도심구,57.19,20,1999,2070,3,1,3,40600
호수구,84.69,24,2010,346,3,1,2,91800
신도심구,84.12,27,2005,60,3,1,3,108400
중앙구,60.29,5,2004,1214,3,1,2,111800
중앙구,48.93,16,2007,738,2,1,3,100100
강변구,74.07,19,2017,1221,3,1,3,135800
중앙구,101.61,28,1998,815,4,2,3,198300
구도심구,83.2,22,2023,60,3,1,1,82900
중앙구,83.15,18,1994,852,3,1,1,146300
신도심구,74.57,17,1997,344,3,1,1,84900
구도심구,58.96,5,2014,492,3,1,2,50900
신도심구,83.51,10,1997,573,3,1,3,107100
강변구,58.9,13,2017,223,3,1,3,111700
구도심구,85.91,26,2016,334,3,1,3,90600
구도심구,58.47,25,2006,1074,3,1,2,53600
구도심구,58.43,19,2007,1073,3,1,2,50900
중앙구,81.95,4,2024,128,3,1,1,179200
중앙구,83.95,21,2018,744,3,1,2,196100
호수구,84.79,14,2013,1155,3,1,1,93500
신도심구,75.0,19,1997,690,3,1,2,93800
강변구,114.13,13,2011,775,4,2,2,168400
신도심구,102.15,21,1994,138,4,2,1,148900
구도심구,101.88,7,2001,1426,4,2,2,69300
호수구,85.34,5,2015,242,3,1,2,98300
강변구,85.18,7,2006,472,3,1,2,128100
호수구,85.88,27,2024,1162,3,1,2,123100
중앙구,73.8,3,2023,1763,3,1,1,131600
신도심구,72.41,9,1996,503,3,1,2,88700
구도심구,84.8,10,2021,2407,3,1,1,66400
중앙구,49.94,25,2020,708,2,1,1,96500
중앙구,50.88,11,1996,650,2,1,1,86500
신도심구,102.54,26,2005,274,4,2,2,132100
호수구,51.33,29,2023,480,2,1,3,71300
신도심구,84.74,19,1993,753,3,1,1,97400
호수구,84.27,10,1994,935,3,1,2,89500
구도심구,57.34,18,2009,905,3,1,3,48700
신도심구,114.37,20,2023,441,4,2,3,186600
구도심구,58.34,4,2001,1558,3,1,1,41400
중앙구,101.25,25,2017,666,4,2,1,206200
중앙구,84.07,13,2015,634,3,1,1,197500
구도심구,59.57,25,1997,258,3,1,3,51100
구도심구,58.88,18,2002,1002,3,1,1,38400
강변구,75.12,25,2012,608,3,1,2,125200
신도심구,70.73,3,2008,508,3,1,3,96100
구도심구,59.23,2,2000,189,3,1,1,42900
호수구,135.44,4,1999,197,4,2,2,131200
구도심구,61.24,26,2010,811,3,1,3,52700
신도심구,101.88,29,2019,1711,4,2,1,153400
신도심구,61.02,29,2006,539,3,1,1,80200
신도심구,134.2,10,2022,537,4,2,1,193400
구도심구,59.0,8,2014,1011,3,1,2,61300
호수구,74.64,11,2005,1392,3,1,1,68100
신도심구,84.0,24,2015,408,3,1,1,123900
강변구,58.06,8,2007,261,3,1,1,81700
강변구,100.38,16,2017,595,4,2,2,187000
구도심구,57.67,19,2024,896,3,1,2,54300
구도심구,84.63,11,2018,63,3,1,2,88000
중앙구,84.01,14,1997,455,3,1,2,169500
중앙구,83.57,20,1995,551,3,1,3,151700
신도심구,48.32,23,2018,496,2,1,2,61700
중앙구,59.61,6,2020,172,3,1,2,130100
구도심구,59.94,15,2011,456,3,1,1,56100
강변구,72.64,5,2000,558,3,1,1,107300
중앙구,57.45,1,2021,300,3,1,1,123300
호수구,115.15,19,2007,757,4,2,2,141500
강변구,82.35,14,2002,1115,3,1,3,124400
강변구,84.66,8,2004,1142,3,1,1,112500
강변구,75.94,2,2002,364,3,1,1,93800
중앙구,60.94,28,2002,884,3,1,2,106200
중앙구,84.89,24,2003,833,3,1,3,168100
중앙구,59.85,28,2014,1961,3,1,2,100000
강변구,76.7,4,1993,887,3,1,1,89500
중앙구,81.2,1,2004,925,3,1,2,139100
신도심구,83.44,7,1998,1268,3,1,1,86000
구도심구,135.02,3,2013,214,4,2,2,129300
신도심구,58.6,14,2024,654,3,1,2,86200
강변구,85.49,19,2018,1781,3,1,2,140300
신도심구,58.95,6,2000,1805,3,1,1,58300
호수구,74.16,12,2009,456,3,1,3,77000
호수구,83.67,16,1993,1750,3,1,1,75000
중앙구,58.37,10,2006,510,3,1,1,101500
강변구,83.34,14,2001,777,3,1,2,122000
강변구,74.33,18,2009,145,3,1,1,114100
강변구,48.07,28,2006,1512,2,1,1,70400
신도심구,115.14,9,2014,491,4,2,1,160500
신도심구,74.78,3,2010,177,3,1,1,101100
중앙구,102.32,26,2023,568,4,2,1,212800
신도심구,72.65,17,1995,60,3,1,2,88500
신도심구,111.96,14,2023,981,4,2,1,165900
중앙구,58.99,21,2018,1331,3,1,3,138200
구도심구,77.48,29,2015,269,3,1,2,78700
중앙구,85.52,4,2019,260,3,1,2,170400
호수구,73.33,25,1994,933,3,1,3,74400
중앙구,74.51,19,1999,1012,3,1,2,127800
구도심구,134.87,17,1993,378,4,2,1,87900
호수구,82.36,26,2018,301,3,1,3,95500
호수구,85.64,9,2004,1178,3,1,1,82900
구도심구,83.8,23,2004,160,3,1,1,71900
구도심구,100.89,17,2012,437,4,2,2,94500
구도심구,101.03,28,2006,295,4,2,1,93800
구도심구,85.37,14,2013,923,3,1,2,73700
중앙구,58.09,21,2022,315,3,1,3,125200
신도심구,46.95,15,2003,1284,2,1,2,54100
신도심구,84.39,12,2021,424,3,1,1,119000
호수구,98.55,11,2010,811,4,2,1,105200
신도심구,83.64,27,2005,320,3,1,1,102400
신도심구,60.42,25,2022,706,3,1,1,75400
구도심구,59.69,7,2008,355,3,1,2,44100
강변구,85.25,26,1997,247,3,1,2,128300
중앙구,101.74,17,2002,1008,4,2,2,167800
신도심구,61.89,4,2020,313,3,1,2,79500
신도심구,83.29,23,2009,317,3,1,1,117200
강변구,84.48,5,2010,662,3,1,1,142500
신도심구,113.47,26,2014,747,4,2,2,160500
신도심구,60.15,14,1999,239,3,1,1,74500
강변구,113.93,27,1995,872,4,2,1,154600
신도심구,86.06,15,2007,335,3,1,2,99500
구도심구,83.36,3,2022,187,3,1,1,85700
강변구,50.69,23,1997,485,2,1,1,77400
호수구,84.71,22,2016,479,3,1,1,113100
호수구,83.96,9,2024,823,3,1,1,98000
신도심구,74.65,6,1996,2008,3,1,2,70600
강변구,74.31,26,1997,654,3,1,1,112800
신도심구,84.43,23,2020,903,3,1,3,135100
구도심구,83.75,9,1996,141,3,1,1,68500
구도심구,48.16,21,2016,1324,2,1,1,40500
구도심구,73.6,7,2018,547,3,1,1,69700
신도심구,56.98,6,2003,202,3,1,3,70800
구도심구,115.01,20,2002,1291,4,2,2,92700
강변구,132.52,25,2009,565,4,2,2,213100
구도심구,58.74,27,2009,1153,3,1,3,62400
강변구,59.78,14,2020,2149,3,1,1,93500
구도심구,60.01,5,2011,157,3,1,2,47100
호수구,81.87,16,2023,323,3,1,2,108900
중앙구,100.89,20,2000,1019,4,2,2,181400
구도심구,84.55,29,2001,594,3,1,1,66300
중앙구,49.06,4,2000,60,2,1,3,84400
구도심구,50.61,20,2013,444,2,1,2,51100
중앙구,58.01,15,1994,502,3,1,3,96900
호수구,98.54,18,2020,565,4,2,1,124700
중앙구,84.97,3,2017,313,3,1,1,157900
호수구,83.36,1,2024,1549,3,1,1,83000
구도심구,71.89,18,2023,142,3,1,3,85300
신도심구,113.81,6,1995,781,4,2,1,127900
구도심구,75.48,18,2016,381,3,1,2,75400
구도심구,99.48,1,2009,359,4,2,1,79600
호수구,116.8,24,2016,1416,4,2,1,128200
강변구,82.99,10,2020,481,3,1,1,135100
신도심구,114.1,14,2011,784,4,2,2,140300
중앙구,57.54,10,1993,1066,3,1,1,90900
구도심구,84.05,13,2020,614,3,1,2,93500
강변구,58.84,16,2006,1429,3,1,2,91100
신도심구,82.21,19,2007,183,3,1,3,120800
신도심구,62.39,21,2011,819,3,1,2,78600
신도심구,48.41,29,2022,2022,2,1,2,70000
신도심구,48.41,6,2009,770,2,1,2,65600
구도심구,75.16,26,1999,110,3,1,1,64400
구도심구,86.18,18,2016,839,3,1,2,88600
신도심구,85.35,9,2013,1591,3,1,3,126700
신도심구,72.56,27,1995,449,3,1,1,77300
호수구,134.26,21,2010,444,4,2,1,137100
중앙구,111.74,6,2018,991,4,2,2,228000
중앙구,60.08,6,2021,870,3,1,2,117700
중앙구,72.04,20,2002,631,3,1,1,117700
구도심구,83.04,22,2009,333,3,1,3,88200
신도심구,84.0,2,2019,411,3,1,1,102400
구도심구,74.53,19,2011,255,3,1,1,68300
구도심구,83.69,16,2006,97,3,1,3,70600
강변구,60.82,29,1998,1325,3,1,1,80800
호수구,74.87,22,1994,1028,3,1,2,76800
구도심구,84.77,27,2015,958,3,1,3,90300
강변구,82.52,1,2023,946,3,1,1,137300
신도심구,103.04,23,2012,514,4,2,1,139800
강변구,48.04,10,2017,462,2,1,3,94900
강변구,61.09,17,2014,204,3,1,2,111100
중앙구,51.43,26,2004,1087,2,1,3,94400
호수구,59.62,26,2009,2500,3,1,3,61600
신도심구,50.24,7,2001,814,2,1,2,64600
신도심구,80.3,7,2000,1195,3,1,1,80800
구도심구,83.77,21,2011,1198,3,1,1,65900
신도심구,85.32,26,2013,1659,3,1,1,105200
호수구,75.11,18,2024,297,3,1,1,88400
구도심구,47.54,2,2000,144,2,1,2,33400
신도심구,83.65,5,2002,701,3,1,3,103900
신도심구,45.96,22,1998,551,2,1,3,63400
호수구,101.5,22,2023,2500,4,2,3,123600
구도심구,46.74,26,2018,258,2,1,1,46700
호수구,85.36,16,2003,2003,3,1,2,82400
중앙구,115.42,13,2024,555,4,2,1,286700
호수구,83.43,4,2015,231,3,1,2,95800
구도심구,84.63,23,2008,1764,3,1,3,73600
중앙구,83.74,28,2005,301,3,1,3,164100
신도심구,59.29,2,2011,1200,3,1,3,67100
구도심구,82.62,15,1995,716,3,1,1,67400
중앙구,101.75,11,1998,1998,4,2,2,154100
신도심구,132.03,22,2022,1378,4,2,1,191600
구도심구,71.8,23,1999,544,3,1,2,58800
강변구,73.85,7,1998,1770,3,1,1,98900
신도심구,83.75,28,2020,887,3,1,2,115600
신도심구,84.33,4,2023,644,3,1,1,130200
강변구,58.22,23,2019,704,3,1,2,110400
호수구,61.26,22,1996,1232,3,1,3,53100
구도심구,59.19,5,2019,523,3,1,1,53200
중앙구,84.28,20,2001,414,3,1,2,168400
호수구,59.24,8,1993,339,3,1,2,63900
호수구,50.2,8,2022,806,2,1,3,67900
강변구,49.69,3,2001,359,2,1,1,68400
구도심구,114.53,22,2014,1244,4,2,2,97100
중앙구,49.88,24,1995,513,2,1,1,86100
호수구,46.81,15,1999,936,2,1,1,43800
구도심구,81.86,23,2021,1430,3,1,1,72500
구도심구,58.91,11,2011,1691,3,1,2,48500
중앙구,133.76,17,2024,747,4,2,1,305100
호수구,114.7,23,1998,83,4,2,2,135900
중앙구,74.02,13,2021,89,3,1,1,171200
강변구,74.7,18,2020,1222,3,1,1,123200
중앙구,72.51,5,2022,283,3,1,2,150000
구도심구,48.99,15,1994,495,2,1,1,38900
강변구,57.39,25,1996,1346,3,1,1,82700
호수구,59.46,23,2009,418,3,1,1,70900
구도심구,56.75,9,1996,204,3,1,1,44400
중앙구,84.42,16,1995,507,3,1,1,135400
중앙구,57.24,18,2018,1066,3,1,2,121600
중앙구,58.54,28,2015,411,3,1,2,135100
구도심구,85.07,25,2020,966,3,1,1,81300
구도심구,74.27,24,2022,211,3,1,1,74600
강변구,57.03,22,1997,330,3,1,2,80800
구도심구,48.19,11,2019,513,2,1,1,54300
중앙구,57.2,11,1994,1466,3,1,1,79800
구도심구,56.97,14,2004,455,3,1,1,44700
호수구,101.14,13,2002,403,4,2,2,110500
구도심구,114.67,28,2000,405,4,2,2,96300
구도심구,74.53,26,2015,966,3,1,1,71900
구도심구,74.72,26,1996,1138,3,1,1,58900
중앙구,83.99,18,2018,1423,3,1,2,154500
강변구,83.67,6,2020,2206,3,1,1,115300
중앙구,57.71,5,2014,810,3,1,1,102200
신도심구,58.47,8,1995,363,3,1,2,73100
구도심구,72.41,19,2012,570,3,1,1,67500
구도심구,82.99,11,2013,296,3,1,1,74400
호수구,59.11,20,2004,707,3,1,2,64900
강변구,58.86,26,2004,340,3,1,2,86700
구도심구,77.68,10,2008,1418,3,1,1,58500
강변구,57.39,27,2024,765,3,1,1,92500
강변구,83.85,15,1993,1723,3,1,1,102200
구도심구,82.29,24,2009,1110,3,1,1,69800
호수구,83.53,2,2003,1042,3,1,1,69400
구도심구,58.58,8,2010,203,3,1,1,53400
중앙구,60.01,27,1993,964,3,1,1,100700
구도심구,100.46,26,2022,2175,4,2,1,79900
중앙구,83.77,17,2007,465,3,1,1,154500
호수구,48.48,1,2024,1276,2,1,2,55600
구도심구,57.32,2,1997,151,3,1,2,42700
강변구,100.22,13,2011,259,4,2,3,161100
중앙구,83.54,27,2014,600,3,1,2,168600
강변구,101.09,11,2018,408,4,2,2,174700
호수구,84.67,26,1993,335,3,1,1,79500
신도심구,73.72,16,2013,410,3,1,2,106000
구도심구,73.7,4,1997,892,3,1,2,62200
구도심구,56.94,17,2006,1287,3,1,3,49100
신도심구,84.65,11,1994,945,3,1,3,87600
중앙구,83.16,7,1994,983,3,1,1,128100
호수구,59.9,20,2017,620,3,1,3,86400
강변구,102.58,6,2015,253,4,2,2,174700
신도심구,73.77,27,2021,584,3,1,2,109800
구도심구,47.77,24,2015,720,2,1,1,43000
구도심구,73.98,23,2012,1325,3,1,1,65300
호수구,101.42,3,1996,1901,4,2,2,84900
중앙구,113.62,28,2017,841,4,2,1,203800
신도심구,83.32,15,2000,1236,3,1,2,94500
신도심구,114.68,22,1996,65,4,2,1,135000
신도심구,101.6,6,2016,507,4,2,1,144300
중앙구,100.58,23,2011,617,4,2,2,195200
중앙구,99.02,10,1997,928,4,2,2,162900
강변구,74.55,21,2010,1930,3,1,3,115000
강변구,83.08,9,2015,806,3,1,2,131200
신도심구,84.26,28,2008,132,3,1,2,117000
구도심구,84.18,21,2015,991,3,1,3,85100
구도심구,56.73,14,2009,478,3,1,2,48000
신도심구,84.1,14,2004,926,3,1,2,109100
신도심구,114.62,1,2000,1047,4,2,3,119700
강변구,74.76,9,2001,122,3,1,2,105300
신도심구,134.14,23,2018,593,4,2,2,191300
강변구,71.63,25,2004,610,3,1,2,122700
중앙구,60.53,29,2015,799,3,1,2,110100
신도심구,59.49,3,2004,357,3,1,2,73600
신도심구,99.56,8,2009,279,4,2,2,136600
강변구,83.05,23,2012,1910,3,1,2,135200
신도심구,74.28,11,2008,742,3,1,1,107200
신도심구,84.82,8,2016,304,3,1,1,115500
구도심구,73.41,9,2022,418,3,1,1,74700
구도심구,74.99,27,2020,1967,3,1,1,64000
구도심구,98.85,25,2022,1496,4,2,1,89600
강변구,82.75,1,1993,382,3,1,1,102400
구도심구,81.52,25,2017,256,3,1,1,70200
신도심구,82.92,17,2016,273,3,1,2,124400
신도심구,135.81,25,2006,1392,4,2,2,174800
구도심구,61.47,19,2003,453,3,1,2,50600
신도심구,59.28,20,1994,169,3,1,1,70700
신도심구,58.23,17,2019,428,3,1,1,74900
구도심구,83.73,22,2019,793,3,1,1,79800
호수구,84.57,24,1995,585,3,1,1,88000
호수구,82.12,15,2011,1513,3,1,1,83500
신도심구,73.31,4,2010,800,3,1,2,89500
신도심구,50.72,3,1998,879,2,1,1,50200
구도심구,82.75,13,2010,1186,3,1,2,74300
강변구,133.1,14,2018,1144,4,2,2,240600
구도심구,59.02,26,2003,427,3,1,1,49400
신도심구,59.34,1,2016,260,3,1,2,77400
중앙구,58.25,26,2024,755,3,1,2,113000
중앙구,74.09,2,2007,682,3,1,1,124000
구도심구,59.73,15,1996,804,3,1,2,44900
중앙구,76.35,13,2002,852,3,1,2,131500
강변구,83.85,17,1997,1817,3,1,2,122000
강변구,73.95,2,2004,521,3,1,3,95100
강변구,75.83,23,2013,876,3,1,1,106800
강변구,48.34,4,1999,259,2,1,1,68700
구도심구,112.41,23,2009,335,4,2,3,107000
중앙구,74.3,17,2024,651,3,1,2,162000
구도심구,75.29,26,2001,295,3,1,3,69500
호수구,59.43,29,2021,1004,3,1,2,74700
신도심구,83.88,25,2002,903,3,1,2,97800
강변구,99.26,14,2012,386,4,2,2,163200
구도심구,48.93,13,1998,550,2,1,1,38400
중앙구,60.48,20,2001,1401,3,1,1,100300
신도심구,57.52,19,2020,749,3,1,1,85500
호수구,83.71,23,2011,2500,3,1,1,75500
호수구,113.54,15,2011,550,4,2,2,136500
구도심구,73.16,14,2009,600,3,1,2,71300
강변구,74.3,4,2000,651,3,1,3,111600
구도심구,84.53,5,2022,149,3,1,1,81800
구도심구,84.52,24,2005,579,3,1,1,70300
신도심구,57.83,29,1993,564,3,1,1,61900
구도심구,57.02,18,2022,1067,3,1,2,52800
중앙구,74.31,10,1994,1439,3,1,1,108200
강변구,100.39,2,2021,515,4,2,1,163700
신도심구,86.21,2,2001,82,3,1,2,94300
강변구,86.26,20,1995,726,3,1,1,115700
강변구,103.39,19,2000,292,4,2,2,157100
구도심구,57.87,9,2013,772,3,1,1,57200
호수구,74.68,6,2010,758,3,1,1,82900
신도심구,50.05,3,1997,363,2,1,3,65100
구도심구,101.91,20,2002,730,4,2,1,87900
호수구,83.57,18,1999,175,3,1,1,81800
중앙구,60.53,10,2013,806,3,1,3,137800
신도심구,49.0,22,2020,1136,2,1,1,68900
신도심구,84.15,25,2001,931,3,1,1,99200
중앙구,82.15,16,2021,434,3,1,1,161600
구도심구,84.77,8,2006,1079,3,1,2,68700
신도심구,58.69,1,1995,997,3,1,2,53100
신도심구,114.56,24,2003,1028,4,2,2,140800
강변구,84.28,17,2020,1554,3,1,3,141000
강변구,84.22,11,2018,860,3,1,1,134800
호수구,83.95,1,2016,267,3,1,1,81500
중앙구,114.94,24,2005,308,4,2,3,246400
강변구,113.76,27,2017,861,4,2,1,196200
강변구,82.25,14,2015,126,3,1,3,170300
