주문번호,고객ID,상품명,카테고리,수량,단가,주문일,배송평점,결제수단코드
1116,C024,휴대폰케이스,전자기기,1,"12,000",2026-06-11,5,C
1117,C008,보조배터리,전자기기,1,"29,000",2026-06-11,1,P
1118,C008,후드티,패션,2,"39,000",2026-06-11,4,C
1119,C019,무릎담요,생활용품,1,"22,000",2026-06-11,5,P
1120,C025,후드티,,5,"39,000",2026-06-11,5,C
1121,C002,무선이어폰,전자기기,1,"89,000",2026-06-11,5,C
1122,C010,휴대폰케이스,전자기기,2,"12,000",2026-06-12,4,C
1123,C025,보조배터리,전자기기,5,"29,000",2026-06-12,4,T
1124,C021,고양이장난감,반려동물,1,"7,500",2026-06-12,3,C
1125,C016,휴대폰케이스,전자기기 ,4,"12,000",2026-06-12,5,P
1126,C004,향초,생활용품,1,"9,500",2026-06-12,4,P
1127,C007,게이밍마우스,전자기기,4,"38,000",2026-06-12,,C
1128,C003,향초,생활용품,1,"9,500",2026-06-13,5,T
1129,C008,보조배터리,전자기기,1,"29,000",2026-06-13,,C
1130,C023,보조배터리,전자기기,4,"29,000",2026-06-13,4,P
1131,C016,무선이어폰,전자기기,2,"89,000",2026-06-13,4,P
1132,C010,볼캡,패션,3,"24,000",2026-06-13,3,P
1133,C007,고양이장난감,반려동물,5,"7,500",2026-06-13,3,C
1134,C010,후드티,패션,1,"39,000",2026-06-13,5,T
1135,C010,후드티,패션,2,"39,000",2026-06-14,3,P
1136,C010,휴대폰케이스,전자기기,5,"12,000",2026-06-14,3,T
1137,C026,후드티,패션,1,"39,000",2026-06-14,4,T
1138,C999,고양이장난감,반려동물,4,"7,500",2026-06-14,5,P
1139,C018,양말세트,패션,1,"8,900",2026-06-14,5,T
1140,C023,게이밍마우스,전자기기,1,"38,000",2026-06-14,4,C
1141,C012,무릎담요,생활용품,2,"22,000",2026-06-14,3,P
1142,C005,휴대폰케이스,전자기기,4,"12,000",2026-06-14,5,P
1143,C004,후드티,패션,2,"39,000",2026-06-14,3,P
1144,C003,후드티,패션,3,"39,000",2026-06-14,2,P
1145,C003,후드티,패션,1,"39,000",2026-06-14,1,C
1146,C004,디퓨저,생활용품,2,"16,500",2026-06-14,4,P
1147,C026,강아지간식,반려동물,5,"13,000",2026-06-14,4,C
1148,C016,텀블러,생활용품,3,"18,000",2026-06-14,5,P
1149,C008,양말세트,패션,2,"8,900",2026-06-14,5,P
1150,C015,블루투스스피커,전자기기,3,"45,000",2026-06-15,5,P
1151,C014,향초,생활용품,5,"9,500",2026-06-15,5,C
1152,C018,우산,생활용품,3,"15,000",2026-06-15,4,C
1153,C025,우산,생활용품,,"15,000",2026-06-15,5,P
1154,C009,강아지간식,반려동물,,"13,000",2026-06-15,5,C
1155,C010,게이밍마우스,전자기기,5,"38,000",2026-06-15,5,T
1156,C012,양말세트,패션,1,"8,900",2026-06-15,,P
1157,C010,우산,,2,"15,000",2026-06-16,4,P
1158,C006,향초,생활용품,1,"9,500",2026-06-16,3,P
1159,C007,후드티,패션,2,"39,000",2026-06-16,5,P
1160,C009,후드티,패션,2,"39,000",2026-06-16,4,C
1161,C021,양말세트,패션,1,"8,900",2026-06-16,,P
1162,C021,고양이장난감,반려동물,5,"7,500",2026-06-16,3,C
1163,C022,양말세트,패션,2,"8,900",2026-06-16,3,C
1164,C027,후드티,패션,2,"39,000",2026-06-17,3,T
1165,C026,양말세트,패션,2,"8,900",2026-06-17,2,P
1166,C016,무릎담요,생활용품,5,"22,000",2026-06-17,4,P
1167,C015,강아지간식,반려동물,5,"13,000",2026-06-17,4,P
1168,C019,우산,생활용품,5,"15,000",2026-06-17,3,T
1169,C011,블루투스스피커,전자기기,1,"45,000",2026-06-17,4,C
1170,C006,무선이어폰,전자기기,1,"89,000",2026-06-17,4,C
1171,C001,양말세트,패션,3,"8,900",2026-06-18,5,C
1172,C014,양말세트,패션,2,"8,900",2026-06-18,5,P
1173,C004,블루투스스피커,전자기기,3,"45,000",2026-06-18,4,C
1174,C007,휴대폰케이스,전자기기,4,"12,000",2026-06-18,5,P
1175,C014,블루투스스피커,전자기기,2,"45,000",2026-06-18,2,C
1176,C005,디퓨저,생활용품,5,"16,500",2026-06-18,5,C
1177,C022,강아지간식,반려동물,3,"13,000",2026-06-18,3,P
1178,C014,텀블러,생활용품,1,"18,000",2026-06-18,4,P
1179,C007,보조배터리,전자기기,1,"29,000",2026-06-18,4,C
1180,C019,양말세트,패션,3,"8,900",2026-06-18,4,C
1181,C022,무릎담요,생활용품,2,"22,000",2026-06-18,3,T
1182,C012,볼캡, 패션,3,"24,000",2026-06-18,4,P
1183,C010,고양이장난감,반려동물,1,"7,500",2026-06-19,1,P
1184,C025,우산,생활용품,4,"15,000",2026-06-19,2,T
1185,C005,볼캡,패션,3,"24,000",2026-06-19,3,P
1186,C027,양말세트,패션,3,"8,900",2026-06-19,,P
1187,C004,강아지간식,반려동물,1,"13,000",2026-06-19,5,C
1188,C011,무선이어폰,전자기기,4,"89,000",2026-06-19,4,T
1189,C014,강아지간식,반려동물,1,"13,000",2026-06-19,5,P
1190,C013,디퓨저, 생활용품,1,"16,500",2026-06-19,2,C
1191,C009,양말세트,패션,5,"8,900",2026-06-19,4,T
1192,C009,게이밍마우스,전자기기,2,"38,000",2026-06-19,4,P
1193,C999,후드티,패션,4,"39,000",2026-06-19,4,P
1194,C024,고양이장난감,반려동물,1,"7,500",2026-06-19,5,P
1195,C023,보조배터리,전자기기,2,"29,000",2026-06-20,5,T
1196,C022,후드티,,1,"39,000",2026-06-20,1,P
1197,C025,향초,생활용품,40,"9,500",2026-06-20,5,T
1198,C015,양말세트,패션,2,"8,900",2026-06-20,3,P
1199,C006,블루투스스피커,전자기기,5,"45,000",2026-06-20,3,C
1200,C010,디퓨저,생활용품,2,"16,500",2026-06-20,5,C
1201,C024,텀블러,생활용품,1,"18,000",2026-06-20,1,P
1202,C001,우산,생활용품,3,"15,000",2026-06-20,3,T
1203,C017,텀블러,생활용품,1,"18,000",2026-06-20,2,P
1204,C003,양말세트,패션 ,3,"8,900",2026-06-21,4,C
1205,C004,무선이어폰,전자기기,5,"89,000",2026-06-21,4,T
1206,C024,무릎담요,생활용품,2,"22,000",2026-06-21,5,P
1207,C999,볼캡,패션,4,"24,000",2026-06-21,5,T
1208,C016,무릎담요,생활용품,2,"22,000",2026-06-21,4,P
1209,C003,무릎담요,생활용품,3,"22,000",2026-06-21,5,P
1210,C004,고양이장난감,반려동물,1,"7,500",2026-06-21,3,P
1211,C004,무선이어폰,전자기기,1,"89,000",2026-06-21,4,T
1212,C022,후드티,패션,3,"39,000",2026-06-21,5,C
1213,C004,게이밍마우스,전자기기,,"38,000",2026-06-21,4,C
1214,C012,휴대폰케이스,,4,"12,000",2026-06-21,5,C
1215,C007,후드티,패션,4,"39,000",2026-06-21,5,P
1216,C003,향초,,3,"9,500",2026-06-22,4,T
1217,C026,무릎담요,생활용품,,"22,000",2026-06-22,5,C
1218,C020,텀블러,생활용품,4,"18,000",2026-06-22,5,C
1219,C015,우산,생활용품,3,"15,000",2026-06-22,1,C
1220,C023,강아지간식,반려동물,3,"13,000",2026-06-22,5,C
1221,C008,무선이어폰,전자기기,3,"89,000",2026-06-22,3,C
1222,C010,강아지간식,반려동물,3,"13,000",2026-06-22,3,C
1223,C007,우산,생활용품,2,"15,000",2026-06-23,5,P
1224,C015,블루투스스피커,전자기기,1,"45,000",2026-06-23,2,P
1225,C010,향초,생활용품,,"9,500",2026-06-23,3,T
1226,C023,보조배터리,전자기기,4,"29,000",2026-06-23,5,P
1227,C025,양말세트,패션,2,"8,900",2026-06-23,3,C
1228,C008,향초,생활용품,1,"9,500",2026-06-23,,C
1229,C007,양말세트,패션,3,"8,900",2026-06-23,4,P
1230,C018,보조배터리,전자기기 ,5,"29,000",2026-06-23,5,C
1231,C019,강아지간식,반려동물,2,"13,000",2026-06-23,4,P
1232,C007,후드티,패션,60,"39,000",2026-06-23,3,P
1233,C010,무선이어폰,전자기기,3,"89,000",2026-06-23,5,T
1234,C011,향초,생활용품,4,"9,500",2026-06-23,5,P
1235,C020,양말세트,패션,,"8,900",2026-06-23,5,C
1236,C008,향초,생활용품,2,"9,500",2026-06-23,,C
1237,C026,휴대폰케이스,전자기기,3,"12,000",2026-06-23,3,C
1238,C018,양말세트,패션,1,"8,900",2026-06-24,4,T
1239,C002,향초,생활용품,4,"9,500",2026-06-24,3,P
1240,C001,후드티,패션,2,"39,000",2026-06-24,4,C
1241,C018,보조배터리,전자기기,3,"29,000",2026-06-24,3,T
1242,C005,휴대폰케이스,전자기기,3,"12,000",2026-06-24,1,T
1243,C018,게이밍마우스,전자기기,5,"38,000",2026-06-24,3,T
1244,C020,고양이장난감,반려동물,3,"7,500",2026-06-24,5,T
1245,C003,블루투스스피커, 전자기기,4,"45,000",2026-06-24,5,P
1246,C007,휴대폰케이스,전자기기,1,"12,000",2026-06-24,,P
1247,C019,무선이어폰,전자기기,4,"89,000",2026-06-25,3,P
1248,C019,무선이어폰,전자기기,1,"89,000",2026-06-25,1,C
1249,C027,블루투스스피커,전자기기,4,"45,000",2026-06-25,2,T
1250,C011,강아지간식,반려동물,3,"13,000",2026-06-25,3,C
1251,C021,고양이장난감,반려동물,2,"7,500",2026-06-25,4,P
1252,C003,고양이장난감,반려동물,4,"7,500",2026-06-25,4,C
1253,C016,블루투스스피커,전자기기,2,"45,000",2026-06-25,2,C
1254,C013,강아지간식,반려동물,3,"13,000",2026-06-25,,T
1255,C011,텀블러,생활용품,4,"18,000",2026-06-25,1,P
1256,C015,보조배터리,전자기기,3,"29,000",2026-06-25,4,C
1257,C004,양말세트,패션,2,"8,900",2026-06-25,5,P
1258,C024,무릎담요,생활용품,3,"22,000",2026-06-25,55,C
1259,C021,우산,생활용품,1,"15,000",2026-06-25,3,C
1260,C017,우산,생활용품,2,"15,000",2026-06-26,4,C
1261,C006,볼캡,패션,2,"24,000",2026-06-26,,C
1262,C009,게이밍마우스,전자기기,4,"38,000",2026-06-26,4,C
1263,C009,강아지간식,반려동물,2,"13,000",2026-06-26,5,P
1264,C015,게이밍마우스,전자기기,4,"38,000",2026-06-26,5,P
1265,C022,후드티,패션,2,"39,000",2026-06-26,4,P
1266,C026,디퓨저,생활용품,3,"16,500",2026-06-26,4,C
1267,C022,디퓨저,생활용품,5,"16,500",2026-06-26,4,C
1268,C024,게이밍마우스,전자기기,5,"38,000",2026-06-27,4,P
1269,C013,후드티,패션,1,"39,000",2026-06-27,5,T
1270,C012,보조배터리,전자기기,2,"29,000",2026-06-27,1,C
1271,C008,휴대폰케이스,전자기기,1,"12,000",2026-06-27,5,P
1272,C009,볼캡,,4,"24,000",2026-06-27,3,P
1273,C008,휴대폰케이스,,4,"12,000",2026-06-27,5,C
1274,C018,무선이어폰,전자기기,3,"89,000",2026-06-27,5,P
1275,C001,후드티,패션,4,"39,000",2026-06-27,4,T
1276,C016,블루투스스피커,전자기기 ,5,"45,000",2026-06-27,5,C
1277,C019,양말세트,패션,5,"8,900",2026-06-27,2,C
1278,C016,디퓨저,생활용품,3,"16,500",2026-06-28,2,C
1279,C015,휴대폰케이스,전자기기,1,"12,000",2026-06-28,4,C
1280,C023,무선이어폰,전자기기,2,"89,000",2026-06-28,4,T
1281,C015,볼캡,패션,4,"24,000",2026-06-28,5,T
1282,C011,볼캡,패션,1,"24,000",2026-06-29,3,P
1283,C010,우산,생활용품,1,"15,000",2026-06-29,3,P
1284,C002,휴대폰케이스,전자기기,1,"12,000",2026-06-29,5,T
1285,C011,보조배터리,전자기기,5,"29,000",2026-06-29,5,T
1286,C008,블루투스스피커,전자기기,1,"45,000",2026-06-29,2,C
1287,C026,디퓨저,생활용품,,"16,500",2026-06-29,4,C
1288,C020,무선이어폰,,4,"89,000",2026-06-29,4,P
1289,C015,향초,생활용품,1,"9,500",2026-06-29,4,T
1290,C022,양말세트,패션,3,"8,900",2026-06-29,4,C
1291,C001,양말세트,패션,3,"8,900",2026-06-29,5,P
1292,C001,블루투스스피커,전자기기,1,"45,000",2026-06-30,5,P
1293,C021,게이밍마우스,전자기기,5,"38,000",2026-06-30,4,P
1294,C019,후드티,패션,2,"39,000",2026-06-30,5,P
1295,C020,볼캡,패션,2,"24,000",2026-06-30,2,T
1296,C013,보조배터리,전자기기,1,"29,000",2026-06-30,3,T
1297,C013,우산,생활용품,5,"15,000",2026-06-30,5,P
1298,C022,볼캡,패션,4,"24,000",2026-06-30,3,C
1299,C014,고양이장난감,반려동물,3,"7,500",2026-06-30,3,T
1300,C018,볼캡,패션,2,"24,000",2026-06-30,4,T
1042,C011,후드티,패션,2,"39,000",2026-06-04,4,C
1061,C006,휴대폰케이스,전자기기,5,"12,000",2026-06-06,5,T
1183,C010,고양이장난감,반려동물,1,"7,500",2026-06-19,1,P
1242,C005,휴대폰케이스,전자기기,3,"12,000",2026-06-24,1,T
1249,C027,블루투스스피커,전자기기,4,"45,000",2026-06-25,2,T
